# Downloaded from https://wordletools.azurewebsites.net/weightedbottles?SortOrder=ByWeight&submit=Submit

# List in alphabetical order 

Word 	Weight
DEALT 	58%
DEATH 	58%
DEBIT 	58%
DEBUT 	58%
DECAY 	58%
DECOR 	58%
DECOY 	58%
DECRY 	58%
DEFER 	58%
DEITY 	58%
DELAY 	58%
DELTA 	58%
DELVE 	58%
DEMON 	58%
DENIM 	58%
DENSE 	58%
DEPOT 	58%
DEPTH 	58%
DERBY 	58%
DETER 	58%
DETOX 	58%
DEUCE 	58%
DEVIL 	58%
DIARY 	58%
DICEY 	58%
DIGIT 	58%
DIMLY 	58%
DINER 	58%
DINGY 	58%
DIRGE 	58%
DIRTY 	58%
DISCO 	58%
DITCH 	58%
DITTO 	58%
DITTY 	58%
DIVER 	58%
DIZZY 	58%
DODGE 	58%
DODGY 	58%
DOGGY 	58%
DOGMA 	58%
DOING 	58%
DOMED 	58%
DONOR 	58%
DONUT 	58%
DOOZY 	58%
DOPEY 	58%
DOUBT 	58%
DOUGH 	58%
DOUSE 	58%
DOWDY 	58%
DOZEN 	58%
DRAFT 	58%
DRAIN 	58%
DRAMA 	58%
DRANK 	58%
DRAPE 	58%
DRAWL 	58%
DRAWN 	58%
DREAD 	58%
DREAM 	58%
DRESS 	58%
DRIED 	58%
DRIER 	58%
DRIFT 	58%
DRILL 	58%
DRINK 	58%
DRIVE 	58%
DROLL 	58%
DRONE 	58%
DROOL 	58%
DROOP 	58%
DROVE 	58%
DROWN 	58%
DRUNK 	58%
DRYER 	58%
DRYLY 	58%
DUMMY 	58%
DUSKY 	58%
DUSTY 	58%
DUVET 	58%
DWARF 	58%
DWELL 	58%
DYING 	58%
EAGER 	58%
EAGLE 	58%
EARLY 	58%
EARTH 	58%
EASEL 	58%
EATEN 	58%
EATER 	58%
EBONY 	58%
EDICT 	58%
EERIE 	58%
EIGHT 	58%
EJECT 	58%
EKING 	58%
ELBOW 	58%
ELDER 	58%
ELECT 	58%
ELEGY 	58%
ELFIN 	58%
ELITE 	58%
ELUDE 	58%
EMAIL 	58%
EMBED 	58%
EMBER 	58%
EMOJI 	58%
EMPTY 	58%
ENACT 	58%
ENDOW 	58%
ENEMY 	58%
ENJOY 	58%
ENNUI 	58%
ENSUE 	58%
ENTER 	58%
ENTRY 	58%
ENVOY 	58%
EPOCH 	58%
EPOXY 	58%
EQUAL 	58%
EQUIP 	58%
ERASE 	58%
ERECT 	58%
ERODE 	58%
ERROR 	58%
ERUPT 	58%
ESSAY 	58%
ETHER 	58%
ETHIC 	58%
ETHOS 	58%
EVADE 	58%
EVENT 	58%
EVERY 	58%
EVICT 	58%
EVOKE 	58%
EXACT 	58%
EXCEL 	58%
EXERT 	58%
EXILE 	58%
EXIST 	58%
EXPAT 	58%
EXPEL 	58%
EXTOL 	58%
EXTRA 	58%
EXUDE 	58%
FABLE 	58%
FACET 	58%
FAINT 	58%
FAIRY 	58%
FAITH 	58%
FALSE 	58%
FAMED 	58%
FANCY 	58%
FARCE 	58%
FATAL 	58%
FATTY 	58%
FATWA 	58%
FAULT 	58%
FAUNA 	58%
FAVOR 	58%
FEAST 	58%
FECAL 	58%
FEIGN 	58%
FELON 	58%
FEMUR 	58%
FENCE 	58%
FERAL 	58%
FERRY 	58%
FETAL 	58%
FETCH 	58%
FETID 	58%
FETUS 	58%
FEVER 	58%
FEWER 	58%
FIBER 	58%
FIELD 	58%
FIEND 	58%
FIERY 	58%
FIFTH 	58%
FIFTY 	58%
FIGHT 	58%
FILET 	58%
FILLY 	58%
FILTH 	58%
FINAL 	58%
