# Downloaded from https://wordletools.azurewebsites.net/weightedbottles?SortOrder=ByWeight&submit=Submit

# List in alphabetical order 

Word 	Weight
GERMY 	52.3426%
VERSO 	52.3426%
KEMPT 	52.2217%
LIPPY 	52.2217%
REIFY 	52.2217%
SMUSH 	52.2217%
TRIER 	52.2217%
CRICK 	52.0959%
IONIC 	52.0959%
TAPIR 	52.0959%
ATRIA 	51.9649%
CROUP 	51.9649%
JIMMY 	51.9649%
PAYEE 	51.9649%
KARAT 	51.8284%
DUTCH 	51.6859%
PRISE 	51.6859%
SMOTE 	51.6859%
SPUME 	51.6859%
BRAVA 	51.5372%
CRUET 	51.5372%
OXBOW 	51.5372%
BORIC 	51.3817%
GUNKY 	51.3817%
HARRY 	51.3817%
LACEY 	51.3817%
MATEY 	51.3817%
REPOT 	51.3817%
TASER 	51.3817%
UMBRA 	51.3817%
OILER 	51.2189%
RAJAH 	51.2189%
WILLY 	51.2189%
BRONC 	51.0484%
JOIST 	51.0484%
LIEGE 	51.0484%
RATER 	51.0484%
BOLUS 	50.8695%
CARER 	50.8695%
DRAKE 	50.8695%
GAZER 	50.8695%
MAMBA 	50.8695%
ORATE 	50.8695%
UVULA 	50.8695%
ADDER 	50.6816%
BRIER 	50.6816%
OVINE 	50.6816%
TRICE 	50.6816%
ADDLE 	50.484%
IVIED 	50.484%
KVELL 	50.484%
NEIGH 	50.484%
OKAPI 	50.484%
WAKEN 	50.484%
BEVEL 	50.2757%
LAMER 	50.2757%
MALIC 	50.0561%
AIDER 	49.8241%
LORIS 	49.8241%
PHAGE 	49.8241%
POESY 	49.8241%
RELIT 	49.8241%
ROPER 	49.8241%
ZONAL 	49.8241%
JUDGY 	49.5785%
NODAL 	49.5785%
SMITH 	49.5785%
SNOOT 	49.5785%
ANODE 	49.3181%
ANOLE 	49.3181%
KABOB 	49.3181%
LOESS 	49.3181%
QUOTH 	49.3181%
TALUS 	49.3181%
BABEL 	49.0416%
CHURL 	49.0416%
JUNTO 	49.0416%
PHISH 	49.0416%
AUGHT 	48.7471%
BULGY 	48.7471%
BURSA 	48.7471%
EIDER 	48.7471%
GLUTE 	48.7471%
WHIZZ 	48.7471%
BALER 	48.4331%
DEIST 	48.4331%
ESTER 	48.4331%
LORDY 	48.4331%
NABOB 	48.4331%
SIGMA 	48.4331%
THETA 	48.4331%
TORUS 	48.4331%
ASKER 	48.0973%
BARER 	48.0973%
DILLY 	48.0973%
KAPPA 	48.0973%
NOSEY 	48.0973%
PUDGE 	48.0973%
RADII 	48.0973%
RETIE 	48.0973%
STILE 	48.0973%
TRESS 	48.0973%
WIGHT 	48.0973%
BONNY 	47.7373%
GLOOP 	47.7373%
LOGON 	47.7373%
PROLE 	47.7373%
UNBOX 	47.7373%
UNCAP 	47.7373%
BERYL 	47.3504%
BITSY 	47.3504%
HINKY 	47.3504%
LEANT 	47.3504%
SCARP 	47.3504%
SOWER 	47.3504%
TELOS 	47.3504%
TWIXT 	47.3504%
VAUNT 	47.3504%
ELATE 	46.9334%
FAKIR 	46.9334%
PARCH 	46.9334%
SWASH 	46.9334%
AMUCK 	46.4825%
COATI 	46.4825%
GNARL 	46.4825%
UNSET 	46.4825%
COPAY 	45.9931%
LUMEN 	45.9931%
MISSY 	45.9931%
BURKA 	45.8017%
HIDER 	45.4602%
TONEY 	45.4602%
AVAST 	44.8774%
CHEEP 	44.8774%
COUTH 	44.8774%
EDGER 	44.8774%
FADER 	44.8774%
SAMEY 	44.8774%
SITUP 	44.8774%
CUBIT 	44.2372%
DOZER 	44.2372%
HOCUS 	44.2372%
HOODY 	44.2372%
OUTGO 	44.2372%
WOOER 	44.2372%
CRUMP 	43.5303%
FROSH 	43.5303%
HULKY 	43.5303%
LOLLY 	43.5303%
SCHWA 	43.5303%
UNPIN 	43.5303%
UNTAG 	43.5303%
BEFOG 	42.7455%
BOGIE 	42.7455%
CORKY 	42.7455%
JOULE 	42.7455%
MOPER 	42.7455%
UTILE 	42.7455%
SABRE 	42.1719%
CONIC 	41.8689%
CORER 	41.8689%
GONAD 	41.8689%
OUIJA 	41.8689%
PARER 	41.8689%
SHLEP 	41.8689%
SNARF 	41.8689%
STOMA 	41.8689%
WADER 	41.8689%
WHELP 	41.8689%
BALDY 	40.8826%
CLADE 	40.8826%
HIRER 	40.8826%
PSHAW 	40.8826%
TITER 	40.8826%
AUNTY 	39.7642%
DEBAR 	39.7642%
OGLER 	39.7642%
PLASM 	39.7642%
TETRA 	39.7642%
ABOIL 	38.4843%
BRUIN 	38.4843%
DOWSE 	38.4843%
DUCAT 	38.4843%
UNJAM 	38.4843%
AFORE 	37.0042%
BONEY 	37.0042%
DICER 	37.0042%
ILIAC 	37.0042%
NAGGY 	37.0042%
OVATE 	37.0042%
RAVEL 	37.0042%
TUFTY 	37.0042%
METRE 	36.4277%
BIDDY 	31.8588%
LITRE 	27.4725%
BONER 	16.0183%
TORAH 	16.0183%
AXION 	3.52715%
LEXIS 	3.52715%
PRATE 	3.52715%
RALPH 	3.52715%
RHEUM 	3.52715%
UNSAY 	3.52715%
DEFOG 	3.3212%
GLAMP 	3.3212%
HUMPH 	3.3212%
REBUY 	3.3212%
ROGER 	3.3212%
SWANG 	3.3212%
ACHOO 	3.07214%
CAPUT 	3.07214%
CARET 	3.07214%
CURER 	3.07214%
LEMMA 	3.07214%
REDUB 	3.07214%
UNARM 	3.07214%
GAYLY 	2.76416%
GLOAM 	2.76416%
MINIM 	2.76416%
OCTAL 	2.76416%
REFRY 	2.76416%
BESOT 	2.37226%
MESHY 	2.37226%
PLIER 	2.37226%
ABASH 	1.85443%
EDUCE 	1.85443%
EVERT 	1.85443%
PIPET 	1.85443%
RESAW 	1.85443%
RETAG 	1.85443%
TONGA 	1.85443%
MOULT 	1.15066%
ANNAL 	1.13204%
BRUSK 	1.13204%
FIRTH 	0.904452%
QURAN 	0.420616%
ABLED 	0.225968%
ACHED 	0.225968%
ACTED 	0.225968%
ADDED 	0.225968%
AIDED 	0.225968%
AILED 	0.225968%
AIMED 	0.225968%
AIRED 	0.225968%
AMPED 	0.225968%
ARCED 	0.225968%
ASHED 	0.225968%
ASKED 	0.225968%
BALED 	0.225968%
BARED 	0.225968%
BASED 	0.225968%
BATED 	0.225968%
BAYED 	0.225968%
BIDED 	0.225968%
BIKED 	0.225968%
BODED 	0.225968%
BONED 	0.225968%
BOOED 	0.225968%
BOWED 	0.225968%
BOXED 	0.225968%
BUSED 	0.225968%
CAGED 	0.225968%
CAKED 	0.225968%
CANED 	0.225968%
CARED 	0.225968%
CASED 	0.225968%
CAVED 	0.225968%
CAWED 	0.225968%
CEDED 	0.225968%
CITED 	0.225968%
CLUED 	0.225968%
CODED 	0.225968%
CONED 	0.225968%
COOED 	0.225968%
COPED 	0.225968%
CORED 	0.225968%
COWED 	0.225968%
COXED 	0.225968%
CUBED 	0.225968%
CURED 	0.225968%
DARED 	0.225968%
DATED 	0.225968%
DAZED 	0.225968%
DICED 	0.225968%
DIKED 	0.225968%
DINED 	0.225968%
DIVED 	0.225968%
DOLED 	0.225968%
DOPED 	0.225968%
DOSED 	0.225968%
DOTED 	0.225968%
DOZED 	0.225968%
DUKED 	0.225968%
DUPED 	0.225968%
EARED 	0.225968%
EASED 	0.225968%
EBBED 	0.225968%
EDGED 	0.225968%
EGGED 	0.225968%
ENDED 	0.225968%
ERRED 	0.225968%
FACED 	0.225968%
FADED 	0.225968%
FAKED 	0.225968%
FARED 	0.225968%
FATED 	0.225968%
FAXED 	0.225968%
FAZED 	0.225968%
FETED 	0.225968%
FILED 	0.225968%
FINED 	0.225968%
FIRED 	0.225968%
FIXED 	0.225968%
FLIED 	0.225968%
FUMED 	0.225968%
FUSED 	0.225968%
GAMED 	0.225968%
GAPED 	0.225968%
GAZED 	0.225968%
GIBED 	0.225968%
GLUED 	0.225968%
GORED 	0.225968%
HATED 	0.225968%
HAZED 	0.225968%
HEWED 	0.225968%
HEXED 	0.225968%
HIKED 	0.225968%
HIRED 	0.225968%
HIVED 	0.225968%
HOLED 	0.225968%
HOMED 	0.225968%
HONED 	0.225968%
HOPED 	0.225968%
HOSED 	0.225968%
HYPED 	0.225968%
IDLED 	0.225968%
IMBED 	0.225968%
INKED 	0.225968%
IRKED 	0.225968%
JAWED 	0.225968%
JIBED 	0.225968%
JOKED 	0.225968%
JUKED 	0.225968%
KEYED 	0.225968%
KNEED 	0.225968%
KORAN 	0.225968%
LACED 	0.225968%
LAMED 	0.225968%
LAVED 	0.225968%
LAZED 	0.225968%
LIKED 	0.225968%
LINED 	0.225968%
LIVED 	0.225968%
LOBED 	0.225968%
LOPED 	0.225968%
LOVED 	0.225968%
LUBED 	0.225968%
LURED 	0.225968%
LUTED 	0.225968%
MATED 	0.225968%
MAXED 	0.225968%
METED 	0.225968%
MEWED 	0.225968%
MIKED 	0.225968%
MIMED 	0.225968%
MINED 	0.225968%
MIRED 	0.225968%
MIXED 	0.225968%
MOOED 	0.225968%
MOVED 	0.225968%
MOWED 	0.225968%
MUSED 	0.225968%
MUTED 	0.225968%
NAMED 	0.225968%
NIXED 	0.225968%
NOSED 	0.225968%
NOTED 	0.225968%
NUKED 	0.225968%
OARED 	0.225968%
OFFED 	0.225968%
OGLED 	0.225968%
OILED 	0.225968%
OOZED 	0.225968%
OPTED 	0.225968%
ORBED 	0.225968%
OUTED 	0.225968%
OWNED 	0.225968%
PACED 	0.225968%
PAGED 	0.225968%
PALED 	0.225968%
PARED 	0.225968%
PAVED 	0.225968%
PAWED 	0.225968%
PIKED 	0.225968%
PILED 	0.225968%
PINED 	0.225968%
PIPED 	0.225968%
PLIED 	0.225968%
POKED 	0.225968%
POLED 	0.225968%
PORED 	0.225968%
POSED 	0.225968%
PUKED 	0.225968%
RACED 	0.225968%
RAGED 	0.225968%
RAKED 	0.225968%
RATED 	0.225968%
RAVED 	0.225968%
RAZED 	0.225968%
RILED 	0.225968%
ROBED 	0.225968%
ROPED 	0.225968%
ROVED 	0.225968%
ROWED 	0.225968%
RULED 	0.225968%
SATED 	0.225968%
SAVED 	0.225968%
SAWED 	0.225968%
SEWED 	0.225968%
SHOED 	0.225968%
SIDED 	0.225968%
SIRED 	0.225968%
SITED 	0.225968%
SIZED 	0.225968%
SKIED 	0.225968%
SOLED 	0.225968%
SOWED 	0.225968%
TAMED 	0.225968%
TAPED 	0.225968%
TASED 	0.225968%
TAXED 	0.225968%
TIDED 	0.225968%
TILED 	0.225968%
TIMED 	0.225968%
TONED 	0.225968%
TOTED 	0.225968%
TOWED 	0.225968%
TOYED 	0.225968%
TREED 	0.225968%
TUBED 	0.225968%
TUNED 	0.225968%
TYPED 	0.225968%
UPPED 	0.225968%
URGED 	0.225968%
VAPED 	0.225968%
VEXED 	0.225968%
VINED 	0.225968%
VOTED 	0.225968%
VOWED 	0.225968%
WADED 	0.225968%
WAGED 	0.225968%
WAKED 	0.225968%
WANED 	0.225968%
WAVED 	0.225968%
WAXED 	0.225968%
WILED 	0.225968%
WINED 	0.225968%
WIPED 	0.225968%
WIRED 	0.225968%
WOOED 	0.225968%
WOWED 	0.225968%
YOKED 	0.225968%
ZONED 	0.225968%
